business_id,name,cuisine,address,latitude,longitude,number_of_reviews,rating,inserted_at_time_stamp
SCQ9B9jxqNHvJKQ-RagxaA,SPES,Italian,"'413 E 12th St New York, NY 10009'",40.72979,-73.98274,29,4.5,2023-02-26 00:31:37.133477
JwCnSW-RQ7_DxvbzWNO1hA,Coletta,Italian,"'365 3rd Ave New York, NY 10016'",40.74094,-73.98139,166,4.5,2023-02-26 00:31:37.133487
Z-QmxQZAJEy5GXqA82Bemw,Da Toscano,Italian,"'24 Minetta Ln New York, NY 10012'",40.730508,-74.001238,99,4.5,2023-02-26 00:31:37.133497
0axnkZlDiQcJVc06DDXxGQ,Ristorante Il Melograno,Italian,"'501 W 51st St New York, NY 10019'",40.7654289685161,-73.9914178848267,370,4.0,2023-02-26 00:31:37.133507
abZ-mEvF6Tj4hfyIg0lKwQ,Vite Vinosteria,Italian,"'31-05 34th St Astoria, NY 11106'",40.7629734277725,-73.92119564116,680,4.5,2023-02-26 00:31:37.133519
YKLvheNuhQ3083AEgx0V2Q,Casa Soglia,Italian,"'365 Park Ave S New York, NY 10016'",40.74215,-73.98472,3,5.0,2023-02-26 00:31:37.133529
lgFApPVpbXnsIFw1CRJORw,Cellini Restaurant,Italian,"'65 E 54th St New York, NY 10022'",40.760115,-73.972686,179,4.0,2023-02-26 00:31:37.133539
pk89jzL1RsE9U0thf_z6tw,Locanda Verde,Italian,"'377 Greenwich St New York, NY 10013'",40.7198601300801,-74.010039072422,1815,4.0,2023-02-26 00:31:37.133549
7cjT33LfYSk7vrRdEaSr4w,Angeletto Restaurant,Italian,"'890 2nd Ave New York, NY 10017'",40.753188,-73.969365,291,4.5,2023-02-26 00:31:37.133560
KCBfW6sWl9Gx-LvMff08jg,Osteria Morini,Italian,"'218 Lafayette St New York, NY 10012'",40.7219179851303,-73.9976472073402,1272,4.0,2023-02-26 00:31:37.133570
Rc1lxc5lSKJYd162JHNMfQ,Bea,Italian,"'403 W 43rd St New York, NY 10036'",40.7591968,-73.9923361,2811,4.0,2023-02-26 00:31:37.133581
lwfCl81r5a0mjxDNxNGC9w,Il Buco,Italian,"'47 Bond St New York, NY 10012'",40.72583,-73.99299,779,4.0,2023-02-26 00:31:37.133590
zYaYXpmlo6QdnaPwuxWHhQ,L'Osteria,Italian,"'1219 Lexington Ave New York, NY 10028'",40.77704,-73.95721,21,4.5,2023-02-26 00:31:37.133600
32VbG_XgkZIuye0PV-BxaA,Zero Otto Nove,Italian,"'15 W 21st St New York, NY 10010'",40.7407551035259,-73.9914887388588,528,4.0,2023-02-26 00:31:37.133610
z8TIY5xLeQptbXxZp3LpsA,Felice 56,Italian,"'15 W 56th St New York, NY 10019'",40.762862,-73.975396,88,4.5,2023-02-26 00:31:37.133621
J0SZjwe0Rc-H6mzl0oByxQ,Mimi's Italian Restaurant & Piano Bar,Italian,"'984 2nd Ave New York, NY 10022'",40.75611,-73.96728,365,3.5,2023-02-26 00:31:37.133630
zg9Jrtx9rqTXeaqufSOxHQ,Masseria dei Vini,Italian,"'887 9th Ave New York, NY 10019'",40.7684,-73.98558,518,4.0,2023-02-26 00:31:37.133641
